ticker,exchange,company,owner_raw,province,claims,total_ha,score,source,verified
ADZ,TSXV,Adamera Minerals Corp.,ADAMERA MINERALS CORP.,BC,1,16116.3,100,name,
AFF,TSXV,Affinity Metals Corp.,AFFINITY METALS CORP.,BC,43,8907.7,100,name,
AHR,TSXV,Amarc Resources Ltd.,AMARC RESOURCES LTD.,BC,247,135056.8,100,name,
AMK,TSXV,American Creek Resources Ltd.,AMERICAN CREEK RESOURCES LTD.,BC,7,386.3,100,name,
AMX,TSXV,Amex Exploration Inc.,(100) AMEX EXPLORATION INC.,ON,1417,0,100,name,
AUEN,TSXV,Golden Sky Minerals Corp.,GOLDEN SKY MINERALS CORP.,BC,51,51946.6,100,name,
AWX,TSXV,ArcWest Exploration Inc.,ARCWEST EXPLORATION INC.,BC,70,88403.3,100,name,
BBB,TSXV,Brixton Metals Corporation,BRIXTON METALS CORPORATION,BC,194,353848.1,100,name,
BBB,TSXV,Brixton Metals Corporation,(100) BRIXTON METALS CORPORATION,ON,149,0,100,name,
BEX,TSXV,Benton Resources Inc.,(100) BENTON RESOURCES INC.,ON,59,0,100,name,
BMV,TSXV,Bathurst Metals Corp.,BATHURST METALS CORP.,BC,1,81.6,100,name,
CASA,TSXV,Casa Minerals Inc.,CASA MINERALS INC.,BC,4,3546.4,100,name,
CASC,CSE,Cascade Copper Corp.,CASCADE COPPER CORP.,BC,6,5752.9,100,name,
CASC,CSE,Cascade Copper Corp.,(100) Cascade Copper Corp.,ON,4,0,100,name,
CMD,TSXV,Commander Resources Ltd.,(100) COMMANDER RESOURCES LTD.,ON,202,0,100,name,
CMD,TSXV,Commander Resources Ltd.,COMMANDER RESOURCES LTD.,BC,23,22057.5,100,name,
CNC,TSXV,Canada Nickel Company Inc.,(100) CANADA NICKEL COMPANY INC.,ON,3410,0,100,name,
COCO,TSXV,Coast Copper Corp.,COAST COPPER CORP.,BC,174,110182,100,name,
CONE,TSXV,Canada One Mining Corp.,CANADA ONE MINING CORP.,BC,48,13191,100,name,
DBG,TSXV,Doubleview Gold Corp.,DOUBLEVIEW GOLD CORP,BC,15,10943.7,100,name,
DCOP,TSXV,District Copper Corp.,DISTRICT COPPER CORP.,BC,22,6157.6,100,name,
DEC,TSXV,Decade Resources Ltd.,DECADE RESOURCES LTD.,BC,67,33020.8,100,name,
DLP,TSXV,DLP Resources Inc.,DLP RESOURCES INC.,BC,129,54903.4,100,name,
DLTA,TSXV,Delta Resources Limited,(100) Delta Resources Limited,ON,1172,0,100,name,
DLTA,TSXV,Delta Resources Limited,"(1) Delta Resources Limited, (99) Portofino Resources Inc.",ON,15,0,99,name,
DRY,TSXV,Dryden Gold Corp.,(100) Dryden Gold Corp.,ON,2511,0,100,name,
DV,TSXV,Dolly Varden Silver Corporation,DOLLY VARDEN SILVER CORP,BC,279,94158.3,100,name,
EGM,TSXV,Engold Mines Ltd.,ENGOLD MINES LTD.,BC,103,27998.5,100,name,
ENDR,CSE,Enduro Metals Corporation,ENDURO METALS CORPORATION,BC,192,69895.5,100,name,
EPL,TSXV,Eagle Plains Resources Ltd.,EAGLE PLAINS RESOURCES LTD.,BC,475,141133,100,name,
ESK,TSXV,Eskay Mining Corp.,ESKAY MINING CORP.,BC,200,56596.6,100,name,
EVNI,TSXV,EV Nickel Inc.,(100) EV Nickel Inc.,ON,945,0,100,name,
FEX,TSXV,Fjordland Exploration Inc.,FJORDLAND EXPLORATION INC.,BC,13,9505,100,name,
FG,TSXV,Falcon Gold Corp.,(100) FALCON GOLD CORP.,ON,30,0,100,name,
FG,TSXV,Falcon Gold Corp.,FALCON GOLD CORP.,BC,4,414.2,100,name,
FYL,TSXV,Finlay Minerals Ltd.,FINLAY MINERALS LTD.,BC,152,86592.4,100,name,
GFG,TSXV,GFG Resources Inc.,(100) GFG RESOURCES INC.,ON,4269,0,100,name,
GLDC,TSXV,Cassiar Gold Corp.,CASSIAR GOLD (2020) CORP.,BC,226,60737.4,100,name,
GLDC,TSXV,Cassiar Gold Corp.,CASSIAR GOLD CORP.,BC,27,4080,100,name,
GMR,CSE,Gelum Resources Ltd.,GELUM RESOURCES LTD.,BC,2,1363.6,100,name,
GOT,TSXV,Goliath Resources Limited,GOLIATH RESOURCES LTD,BC,92,88351.4,100,name,
GRDM,TSXV,Grid Metals Corp.,(100) Grid Metals Corp.,ON,466,0,100,name,
GSH,TSXV,Golden Share Resources Corporation,(100) GOLDEN SHARE RESOURCES CORPORATION,ON,109,0,100,name,
GSPR,TSXV,GSP Resource Corp.,GSP RESOURCE CORP.,BC,40,3782.6,100,name,
GSTM,TSXV,Goldstorm Metals Corp.,GOLDSTORM METALS CORP,BC,50,16468.7,100,name,
IZN,TSXV,InZinc Mining Ltd.,INZINC MINING LTD.,BC,23,19920,100,name,
KDK,TSXV,Kodiak Copper Corp.,KODIAK COPPER CORP.,BC,116,35776,100,name,
LBC,TSXV,Libero Copper & Gold Corporation,LIBERO COPPER & GOLD CORPORATION,BC,21,27098.4,100,name,
LME,TSXV,Laurion Mineral Exploration Inc.,(100) LAURION MINERAL EXPLORATION INC.,ON,250,0,100,name,
MEK,TSXV,Metals Creek Resources Corp.,(100) METALS CREEK RESOURCES CORP.,ON,233,0,100,name,
MLM,CSE,McFarlane Lake Mining Limited,(100) McFarlane Lake Mining Limited,ON,527,0,100,name,
MTS,TSXV,Metallis Resources Inc.,METALLIS RESOURCES INC.,BC,30,10610,100,name,
NBRK,CSE,New Break Resources Ltd.,(100) New Break Resources Ltd.,ON,1134,0,100,name,
NIM,TSXV,Nicola Mining Inc.,NICOLA MINING INC.,BC,59,13353.9,100,name,
NOB,TSXV,Noble Mineral Exploration Inc.,(100) NOBLE MINERAL EXPLORATION INC.,ON,10,0,100,name,
OMM,TSXV,Omineca Mining and Metals Ltd.,OMINECA MINING AND METALS LTD.,BC,122,69968.4,100,name,
PEMC,TSXV,Pacific Empire Minerals Corp.,PACIFIC EMPIRE MINERALS CORP.,BC,49,17092.3,100,name,
PEX,TSXV,Pacific Ridge Exploration Ltd.,PACIFIC RIDGE EXPLORATION LTD.,BC,127,40583.8,100,name,
PJX,TSXV,PJX Resources Inc.,PJX RESOURCES INC.,BC,388,77348.4,100,name,
PPP,TSXV,Prospector Metals Corp.,(100) Prospector Metals Corp.,ON,1910,0,100,name,
PX,TSXV,Pelangio Exploration Inc.,(100) PELANGIO EXPLORATION INC.,ON,151,0,100,name,
QZM,TSXV,Quartz Mountain Resources Ltd.,QUARTZ MOUNTAIN RESOURCES LTD.,BC,35,15149.4,100,name,
RKR,TSXV,Rokmaster Resources Corp.,ROKMASTER RESOURCES CORP,BC,64,20946.5,100,name,
SCOT,TSXV,Scottie Resources Corp.,SCOTTIE RESOURCES CORP.,BC,197,58123.3,100,name,
SKP,TSXV,StrikePoint Gold Inc.,STRIKEPOINT GOLD INC.,BC,2,995.5,100,name,
STU,TSXV,Stuhini Exploration Ltd.,STUHINI EXPLORATION LTD.,BC,64,34827.7,100,name,
SURG,TSXV,Surge Copper Corp.,SURGE COPPER CORP.,BC,193,97805.5,100,name,
TBK,TSXV,Trailbreaker Resources Ltd.,TRAILBREAKER RESOURCES LTD.,BC,63,47815.8,100,name,
TRO,TSXV,Taranis Resources Inc.,TARANIS RESOURCES INC.,BC,38,6612.9,100,name,
TUD,TSXV,Tudor Gold Corp.,TUDOR GOLD CORP.,BC,47,17966.5,100,name,
TUO,TSXV,Teuton Resources Corp.,TEUTON RESOURCES CORP.,BC,102,36695.8,100,name,
TWR,TSXV,Tower Resources Ltd.,TOWER RESOURCES LTD.,BC,53,26927.1,100,name,
WRLG,TSXV,West Red Lake Gold Mines Ltd.,(100) WEST RED LAKE GOLD MINES (ONTARIO) LTD.,ON,159,0,100,name,
XIM,TSXV,Ximen Mining Corp.,XIMEN MINING CORP,BC,548,99639.6,100,name,
XTM,TSXV,Transition Metals Corp.,(100) TRANSITION METALS CORP.,ON,1454,0,100,name,
XTM,TSXV,Transition Metals Corp.,TRANSITION METALS CORP,BC,6,9909.2,100,name,
