HoleID,Longitude,Latitude,Result,Status
"CR-24-01","-127.241183","55.464373","1.4 g/t Au over 2.36 m","Complete"
"CR-24-02","-127.234847","55.459881","0.9 g/t Au over 4.1 m","Complete"
"CR-24-03","-127.247519","55.458085","0.3 g/t Au over 1.8 m","Complete"
"CR-24-04","-127.196832","55.463475","0.6 g/t Au over 3.0 m","Complete"
"CR-24-05","-127.163569","55.465271","2.45 g/t Au over 9 m","Complete"
"CR-24-06","-127.161985","55.457186","1.1 g/t Au over 6.2 m","Complete"
"CR-24-07","-127.209504","55.451797","0.4 g/t Au over 2.2 m","Complete"
"CR-24-08","-127.230095","55.449102","0.2 g/t Au over 1.1 m","Complete"
"CR-24-09","-127.193664","55.443712","0.5 g/t Au over 2.9 m","Complete"
"CR-24-10","-127.177824","55.442814","0.7 g/t Au over 3.4 m","Complete"
"CR-24-11","-127.168321","55.447305","0.3 g/t Au over 1.6 m","Complete"
"CR-24-12","-127.225344","55.432932","0.81% Cu over 22 m","Complete"
"CR-24-13","-127.214256","55.429339","0.55% Cu over 14 m","Complete"
"CR-24-14","-127.195248","55.436525","0.2% Cu over 8 m","Complete"
